var_a,var_b,level,pearson_r,spearman_rho,n,p_value,p_fdr,note
p_CC,gini,dyad,-0.554323552498305,-0.5238585311832625,12000,3.330506897665495e-197,1.1718450195491703e-196,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
p_CC,fairness,dyad,0.554323552498305,0.523857130250793,12000,3.330506897666063e-197,1.1718450195491703e-196,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
p_DD,first_dd,dyad,-0.4753647151463042,-0.51889475445199,6664,2.269919555989763e-240,9.079678223959052e-240,same construct: all of these summarise the mutual-defection pattern
last_coop,endgame_drop,agent_game,-0.4997400725933571,-0.5179349616317922,24000,0.0,0.0,partly mechanical: endgame_drop = coop_early - coop_late
pC_after_C,pC_after_D,agent_game,0.5087180581053525,0.507523478333886,13895,0.0,0.0,identity: reciprocity = pC_after_C - pC_after_D
coop_early,dc_rate,agent_game,-0.46047276469168624,-0.5034352536624978,24000,5.200708824436204e-119,1.4217765131552212e-118,partly mechanical: the outcome rates contain the focal action
first_coop,dd_rate,agent_game,-0.4916615487373836,-0.49991596089568685,24000,5.8320270138667404e-173,1.8623279540078666e-172,partly mechanical: the outcome rates contain the focal action
p_exploit,first_dd,dyad,0.403755927783012,0.49913927168198546,6664,5.722067213336202e-171,1.8119879508897972e-170,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
last_coop,dd_rate,agent_game,-0.4916310911590588,-0.4974364030191666,24000,5.416734715411372e-193,1.8884029283085518e-192,partly mechanical: the outcome rates contain the focal action
pC_after_C,reciprocity,agent_game,0.5101631823386041,0.49671674377810915,13895,0.0,0.0,identity: reciprocity = pC_after_C - pC_after_D
utility,cc_rate,agent_game,0.5129329251224374,0.4892930323970869,24000,5.302990308873172e-173,1.7077426418411936e-172,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
payoff_base,cc_rate,agent_game,-0.5129329251224372,-0.4880670760517751,24000,5.3029903088752855e-173,1.7077426418411936e-172,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
efficiency,cc_rate,agent_game,0.512932925122437,0.4880670760517751,24000,5.302990308873777e-173,1.7077426418411936e-172,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
utility,dd_rate,agent_game,-0.3759061806730591,-0.48307261377566213,24000,1.1552082377578634e-78,2.537451620510048e-78,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
efficiency,dd_rate,agent_game,-0.3759061806730591,-0.4821853738370966,24000,1.1552082377578634e-78,2.537451620510048e-78,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
payoff_base,dd_rate,agent_game,0.3759061806730591,0.4821853738370966,24000,1.155208237758522e-78,2.537451620510048e-78,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
p_DC,n_switch,dyad,0.2028223312276196,0.4776501631312005,12000,5.262352285267894e-19,7.841936738830586e-19,"structural bound: n_switch is forced to 0 when the agent never changes action, i.e. at cooperation rates 0 and 1"
joint_coop,first_coop_1,dyad,0.48249244950079295,0.47156119679979747,12000,0.0,0.0,partly mechanical: agent 1's round-1 action is inside every one of these aggregates
pC_after_C,n_rules_fit,agent_game,0.44009229086819895,0.4715002619595492,21022,5.402673605134177e-182,1.8330499731705243e-181,empirical
coop_rate,n_rules_fit,agent_game,0.48609254784975914,0.47028294258688125,24000,9.097763789775427e-164,2.857148958772448e-163,empirical
dc_rate,rule_distance,agent_game,0.19007292752225155,0.46873303210502554,24000,4.031516676297903e-31,6.6898529999703204e-31,empirical
p_DD,first_coop_1,dyad,-0.4682428363359493,-0.4647681478352016,12000,0.0,0.0,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
dd_rate,pC_after_C,agent_game,-0.46737329397869365,-0.4643542945147649,21022,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
cc_rate,pC_after_D,agent_game,0.45346371692444803,0.4632195210942808,16873,1.153141245402774e-307,5.4774209156631765e-307,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
p_CC,utility_gap,dyad,-0.520192128935121,-0.46235190488586897,12000,2.6177008933175993e-178,8.725669644391998e-178,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
efficiency,dc_rate,agent_game,0.539812388205521,0.4606925916698175,24000,0.0,0.0,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
payoff_base,dc_rate,agent_game,-0.539812388205521,-0.4606925916698175,24000,0.0,0.0,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
utility,dc_rate,agent_game,0.5398123882055205,0.45944410776435474,24000,0.0,0.0,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
pC_after_D,reciprocity,agent_game,-0.48094014295319987,-0.4536519168957082,13895,0.0,0.0,identity: reciprocity = pC_after_C - pC_after_D
last_coop,dc_rate,agent_game,-0.44267265985948545,-0.45337902140931186,24000,1.8104777574515726e-156,5.374855842434357e-156,partly mechanical: the outcome rates contain the focal action
first_coop_1,longest_dd,dyad,-0.42554242869680614,-0.45288163220521466,12000,2.8433459380721258e-84,6.588240588215901e-84,partly mechanical: agent 1's round-1 action is inside every one of these aggregates
joint_efficiency,first_coop_1,dyad,0.44538436318790015,0.45097352177835043,12000,3.1328987301803915e-285,1.4005900205512338e-284,partly mechanical: agent 1's round-1 action is inside every one of these aggregates
joint_utility,first_coop_1,dyad,0.4453843631879005,0.4509128614054507,12000,3.1328987301803915e-285,1.4005900205512338e-284,partly mechanical: agent 1's round-1 action is inside every one of these aggregates
utility_gap,first_dd,dyad,0.3771995476362111,0.44832221863652133,6664,6.103627902765146e-118,1.656699002179111e-117,empirical
last_coop,coop_early,agent_game,0.4317971149512126,0.4357369518852984,24000,1.9301151678193453e-266,8.240941165970239e-266,empirical
first_dd,longest_dd,dyad,-0.3626556638235194,-0.4331316891834702,6664,1.9406547960785564e-77,4.238211623619836e-77,same construct: all of these summarise the mutual-defection pattern
first_coop,cc_rate,agent_game,0.4164984280046197,0.4328792550587546,24000,2.747506956983871e-197,9.849553242017649e-197,partly mechanical: the outcome rates contain the focal action
longest_dd,dd_absorbed,dyad,0.6388678873022506,0.43266067829290494,12000,2.0977146616163506e-248,8.480123100151204e-248,same construct: all of these summarise the mutual-defection pattern
first_coop,pC_after_D,agent_game,0.4382965689043149,0.42735698856971605,16873,4.4633267120338115e-212,1.6960641505728483e-211,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
dd_rate,n_rules_fit,agent_game,-0.2999367235124576,-0.4271510990990794,24000,1.692348957846245e-68,3.5727366887865174e-68,empirical
joint_utility,p_exploit,dyad,-0.4786899422298588,-0.42693849957860375,12000,5.876635038874743e-113,1.5616232970437272e-112,payoff-matrix identity: joint_utility is a linear map of the shares
joint_efficiency,p_exploit,dyad,-0.47868994222985867,-0.4258310523337416,12000,5.876635038875079e-113,1.5616232970437272e-112,payoff-matrix identity: joint_utility is a linear map of the shares
p_DC,first_coop_1,dyad,-0.3462405714126987,-0.4206424481670518,12000,2.645414375602885e-82,6.092469471085431e-82,partly mechanical: agent 1's round-1 action is inside every one of these aggregates
gini,first_dd,dyad,0.347198425228738,0.41952639612841597,6664,4.0907701220801616e-95,9.901227047073003e-95,empirical
fairness,first_dd,dyad,-0.3471984252287382,-0.4194615140079986,6664,4.0907701220801616e-95,9.901227047073003e-95,empirical
coop_rate_1,first_dd,dyad,0.4095518484860241,0.41911809980352527,6664,1.9306527809858213e-105,5.094778172045918e-105,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
p_DC,fairness,dyad,-0.5091185789034758,-0.41127516463065733,12000,3.21832589216116e-185,1.10176922434346e-184,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
p_DC,gini,dyad,0.5091185789034758,0.4112723065108658,12000,3.21832589216116e-185,1.10176922434346e-184,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
pC_after_C,rule_distance,agent_game,-0.29591653014604924,-0.40641914692778314,21022,3.332127267448925e-98,8.222132218380464e-98,empirical
p_CD,gini,dyad,0.5551369941164779,0.40632037548536726,12000,8.077348710428616e-258,3.336296206482904e-257,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
p_CD,fairness,dyad,-0.5551369941164778,-0.40631423904029784,12000,8.077348710432294e-258,3.336296206482904e-257,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
coop_early,n_rules_fit,agent_game,0.4598166877604971,0.4034014091017591,24000,4.05662070591538e-150,1.176729670418202e-149,empirical
dc_rate,pC_after_D,agent_game,-0.3980928957771199,-0.40291377388332633,16873,3.646972025154969e-200,1.3198565424370365e-199,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
p_DD,dd_absorbed,dyad,0.513289965749887,0.40032214981516967,12000,2.5052324345516245e-87,5.876471142775416e-87,same construct: all of these summarise the mutual-defection pattern
joint_utility,gini,dyad,-0.41313098140780635,-0.3998978567449946,12000,1.0507854725202845e-98,2.6097939840384238e-98,"construction: both are built from the same two agent utilities, one as their mean and one as their absolute difference"
joint_utility,fairness,dyad,0.41313098140780635,0.3998961450755178,12000,1.0507854725202845e-98,2.6097939840384238e-98,"construction: both are built from the same two agent utilities, one as their mean and one as their absolute difference"
p_CC,first_coop_1,dyad,0.39818924830504004,0.3994955081632189,12000,2.392153046098936e-158,7.214429821568219e-158,partly mechanical: agent 1's round-1 action is inside every one of these aggregates
joint_efficiency,gini,dyad,-0.4131309814078061,-0.39878512686336554,12000,1.0507854725207337e-98,2.6097939840384238e-98,"construction: both are built from the same two agent utilities, one as their mean and one as their absolute difference"
joint_efficiency,fairness,dyad,0.413130981407806,0.39878321128548494,12000,1.0507854725207337e-98,2.6097939840384238e-98,"construction: both are built from the same two agent utilities, one as their mean and one as their absolute difference"
p_DC,utility_gap,dyad,0.5174704312716224,0.3963340401614876,12000,3.2495284182851526e-206,1.1988551446100562e-205,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
p_exploit,n_switch,dyad,0.2641193282429709,0.3953891789665641,12000,8.164659304024449e-36,1.42319749336206e-35,"structural bound: n_switch is forced to 0 when the agent never changes action, i.e. at cooperation rates 0 and 1"
joint_coop,first_dd,dyad,0.3812083680802874,0.3940457987887112,6664,1.2131457955557063e-87,2.8633254801935924e-87,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
first_coop,coop_late,agent_game,0.39343608870919305,0.393805847315386,24000,1.8884733062475272e-203,6.900190926673657e-203,empirical
p_CD,utility_gap,dyad,0.5482506701672613,0.38809743919179485,12000,4.75676984004823e-274,2.1018285339747994e-273,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
p_CD,first_dd,dyad,0.36020322358717877,0.3861041911973119,6664,2.468868432555889e-92,5.937784837792644e-92,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
first_coop,pC_after_C,agent_game,0.3707316441148592,0.38484708893946973,21022,1.396755981235164e-177,4.615367590168368e-177,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
p_DD,n_switch,dyad,0.11923498104118013,0.3833364454542518,12000,2.1409568401248655e-08,2.7392713779375384e-08,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
first_coop,endgame_drop,agent_game,0.396163022009837,0.37866092865628376,24000,1.6781466544368482e-249,6.856943319204325e-249,partly mechanical: endgame_drop = coop_early - coop_late
coop_early,endgame_drop,agent_game,0.4187666930643025,0.37335077867578215,24000,1.5089553117901248e-262,6.371144649780527e-262,identity: endgame_drop = coop_early - coop_late
dd_rate,rule_distance,agent_game,0.10815565727847537,0.37232779051839526,24000,9.458542468457422e-08,1.190147727819146e-07,empirical
coop_rate_1,n_switch,dyad,-0.24331755737913252,-0.35781029416815996,12000,3.733928027889328e-42,6.887828400960897e-42,"structural bound: n_switch is forced to 0 when the agent never changes action, i.e. at cooperation rates 0 and 1"
first_coop,dc_rate,agent_game,-0.2951378729046725,-0.3576047560125172,24000,1.9635259891429826e-67,4.0996696476611724e-67,partly mechanical: the outcome rates contain the focal action
cc_rate,n_rules_fit,agent_game,0.6619636606160813,0.352710353242756,24000,0.0,0.0,empirical
joint_coop,p_exploit,dyad,-0.2625230024862602,-0.35249699061193973,12000,2.026762464475134e-29,3.2913236602587643e-29,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
coop_rate_1,coop_rate_2,dyad,0.31936923121344735,0.35020471301270406,12000,2.3164390425608772e-36,4.056437033055914e-36,identity: joint_coop is the mean of coop_rate_1 and coop_rate_2
coop_rate,opp_coop_rate,agent_game,0.31927993843600555,0.3499093747282621,24000,9.15618207481335e-36,1.5887439216571107e-35,"not an identity but not independent either: self-play, so the opponent is the same model and each dyad appears twice"
