outcome,label,scope,n,pooled_slope_per_decade,pooled_lo,pooled_hi,pooled_p,pooled_r2,within_cell_slope,within_lo,within_hi,range_across_scales,value_at_min_scale,value_at_max_scale,argmax_scale,argmin_scale,monotone
utility,own utility,Claude-Haiku-4.5,4000,0.00023101930208274668,-0.003880916741827686,0.004342955345993179,0.9123174635566482,3.765654763565607e-06,0.0002310193020817284,-0.0038948144834034756,0.003966856331280484,0.031749999999999945,0.5354,0.52695,1.0,0.25,False
utility,own utility,Qwen3-235B-A22B,4000,-0.006943172146735593,-0.01019364407445919,-0.003692700219011997,2.831866228991189e-05,0.0007616932244366437,-0.006943172146736238,-0.010260535459014593,-0.003690958371948918,0.040349999999999886,0.53645,0.50965,0.1,100.0,False
utility,own utility,GPT-5.4-Nano,4000,0.014595779408778008,0.011466870439076973,0.017724688378479042,6.081755410718258e-20,0.013041813027945603,0.014595779408778035,0.01144740409996989,0.017673009095708153,0.09924999999999995,0.53715,0.6214,5.0,0.01,False
utility,own utility,Gemini-3.1-Flash-Lite,4000,-0.006217460677952785,-0.007432542229608294,-0.005002379126297277,1.1371293336210405e-23,0.0006606241760904741,-0.006217460677952542,-0.007397057679048482,-0.0049400170035030526,0.030750000000000055,0.60565,0.5797,0.1,1000.0,False
utility,own utility,Grok-4.20-Non-Reasoning,4000,0.03926651353525637,0.03597521063546589,0.04255781643504685,6.346257070757108e-121,0.07592065728612529,0.039266513535255614,0.03592031483891572,0.04261944863994421,0.2661,0.4889,0.73545,2.0,0.01,False
utility,own utility,Gemini-3.5-Flash-Lite,4000,-0.012133894915477783,-0.01751928670158765,-0.006748503129367913,1.0053485645121457e-05,0.00798982714459695,-0.012133894915477523,-0.017224138590199185,-0.006720242295545248,0.0925999999999999,0.70395,0.6407,0.25,1000.0,False
first_coop,round-1 cooperation,all,24000,0.023645508688002574,0.01897789902720881,0.028313118348796337,3.1159717396710395e-23,0.00434066458993887,0.023645508688001988,0.019001454597087443,0.028635431560574454,0.16291666666666665,0.4820833333333333,0.63125,1000.0,0.1,False
first_coop,round-1 cooperation,Claude-Haiku-4.5,4000,0.007488832612380137,-0.0025464687079390126,0.017524133932699287,0.14357112045122108,0.0005616149259768388,0.007488832612379671,-0.0026574969776018862,0.018260961752245137,0.18,0.33,0.3675,1000.0,0.25,False
first_coop,round-1 cooperation,Qwen3-235B-A22B,4000,0.008771744144011946,0.004844526905468761,0.012698961382555132,1.19920957600912e-05,0.0005872464089661245,0.008771744144011395,0.005315305820799239,0.013032987717344666,0.050000000000000044,0.5,0.55,1000.0,0.01,False
first_coop,round-1 cooperation,GPT-5.4-Nano,4000,0.050024354914300455,0.039836729412171396,0.060211980416429514,6.330613573621559e-22,0.019134947038094485,0.05002435491429952,0.03906561702192327,0.05993787542307018,0.305,0.3475,0.6525,1000.0,0.01,False
first_coop,round-1 cooperation,Gemini-3.1-Flash-Lite,4000,-0.043654899157842944,-0.0519459423593332,-0.03536385595635269,5.733365765612218e-25,0.019308986545668927,-0.04365489915784339,-0.05174469629066701,-0.035836853628800014,0.25249999999999995,0.8925,0.6875,0.01,10.0,False
first_coop,round-1 cooperation,Grok-4.20-Non-Reasoning,4000,0.1150611691145741,0.106459159865968,0.1236631783631802,1.7172182870046213e-151,0.10196390830563118,0.11506116911457406,0.1060465246767626,0.12361319783170764,0.7625,0.065,0.7575,2.0,0.01,False
first_coop,round-1 cooperation,Gemini-3.5-Flash-Lite,4000,0.004181850500591805,-0.007910899275793486,0.016274600276977094,0.49790844457089933,0.00021500458018131052,0.004181850500590648,-0.00805232184892102,0.016166231154190296,0.36750000000000005,0.7575,0.7725,0.5,0.1,False
endgame_drop,endgame cooperation drop,all,24000,0.011548800502325101,0.007918359238052217,0.015179241766597986,4.522300223246176e-10,0.0016127591984740342,0.01154880050232475,0.007948221386051368,0.015068295858238177,0.10527777777777778,-0.018888888888888893,0.02944444444444444,1000.0,0.1,False
endgame_drop,endgame cooperation drop,Claude-Haiku-4.5,4000,0.002162496788816177,-0.008357235697612467,0.012682229275244821,0.687020700095726,4.632921465574924e-05,0.002162496788816358,-0.008261669182922027,0.012219020506588027,0.12999999999999998,-0.0925,-0.08833333333333333,0.5,0.25,False
endgame_drop,endgame cooperation drop,Qwen3-235B-A22B,4000,0.0013325451072574521,-0.0038200391760179163,0.0064851293905328206,0.6122392242817029,4.5430083084330164e-05,0.0013325451072573643,-0.0031660935123813483,0.006367436505129821,0.0875,0.0525,0.04666666666666666,0.5,0.1,False
endgame_drop,endgame cooperation drop,GPT-5.4-Nano,4000,0.0003856026878074261,-0.008946573612710548,0.0097177789883254,0.9354537893143291,1.9073479843312313e-06,0.00038560268780747685,-0.009244168720257545,0.009823034545840435,0.07583333333333332,-0.011666666666666672,-0.01333333333333334,0.01,1.0,False
endgame_drop,endgame cooperation drop,Gemini-3.1-Flash-Lite,4000,-0.00954264271658347,-0.015655781682227525,-0.0034295037509394135,0.002216962086471595,0.0020351354462208038,-0.009542642716583406,-0.014942583435244764,-0.0034237279924311677,0.11083333333333333,0.21666666666666665,0.1475,0.01,1.0,False
endgame_drop,endgame cooperation drop,Grok-4.20-Non-Reasoning,4000,0.029573787191120103,0.020503246238159998,0.03864432814408021,1.655510762539841e-10,0.012501832055680118,0.029573787191120433,0.019887378810184254,0.03863384598311375,0.2675,-0.26416666666666666,-0.13166666666666668,10.0,0.5,False
endgame_drop,endgame cooperation drop,Gemini-3.5-Flash-Lite,4000,0.045381013955530694,0.03591872226823381,0.05484330564282758,5.458439029880191e-21,0.01983172705298275,0.04538101395553027,0.036105793817454435,0.054804538514055305,0.4108333333333334,-0.014166666666666668,0.21583333333333332,0.5,0.1,False
reciprocity,reciprocity,all,24000,-0.007936436670134307,-0.012559961800494145,-0.0033129115397744708,0.0007672578495397721,0.0007922731970323449,-0.007570913621440118,-0.011671458381607679,-0.0034473273497959813,0.06139301997142904,0.09608263760049475,0.06714697643763387,0.25,2.0,False
reciprocity,reciprocity,Claude-Haiku-4.5,4000,-0.017557057836236446,-0.027390964458929634,-0.007723151213543255,0.000466586112575023,0.0030538062766617413,-0.021492933553745708,-0.031489374060531775,-0.012678947416938919,0.1408943172363031,0.18517612524461838,0.09544930875576038,0.25,1000.0,False
reciprocity,reciprocity,Qwen3-235B-A22B,4000,-0.016129492225622637,-0.02845137992311373,-0.0038076045281315463,0.010299297899362545,0.003869781761639768,-0.02385802486927198,-0.03585193038882104,-0.011164719277410399,0.23509648736037625,0.022950819672131147,-0.032987711213517665,10.0,100.0,False
reciprocity,reciprocity,GPT-5.4-Nano,4000,0.002301354646655723,-0.006457968075322207,0.011060677368633653,0.606591231935786,7.681780818336037e-05,0.002085888550656769,-0.006730483903315784,0.010814732744620635,0.042637797705994455,0.03540764790764791,0.037269699546485256,1000.0,0.1,False
reciprocity,reciprocity,Gemini-3.1-Flash-Lite,4000,-0.0034305771888391867,-0.014306662566955787,0.007445508189277415,0.5364306775388787,0.00023026414816895713,0.0010244827050576982,-0.008486040589562207,0.011410859924078965,0.08768087296902233,0.0078020464384100765,-0.015939849624060153,0.01,0.1,False
reciprocity,reciprocity,Grok-4.20-Non-Reasoning,4000,-0.01004817327183894,-0.023516200768916584,0.003419854225238701,0.1436638770337026,0.0015017918464567126,-0.010714455136914273,-0.024946890961871193,0.0022804940582111938,0.10516745828766286,0.23294740973312403,0.19654061624649863,0.25,1000.0,False
reciprocity,reciprocity,Gemini-3.5-Flash-Lite,4000,0.0039078702481157145,-0.006562950884039938,0.014378691380271367,0.4644808438462197,0.00018727647964644767,0.004157444435104026,-0.006600468393627526,0.014095785459943862,0.2481083648161192,0.05546666666666667,0.17338192419825071,0.5,0.1,False
joint_coop,dyad cooperation,all,12000,0.01336579527637062,0.00927345021655579,0.01745814033618545,1.5402279968205415e-10,0.0037566319105022394,0.013365795276370386,0.009127410521600791,0.017590989170568956,0.12483333333333335,0.50475,0.5980416666666667,0.25,0.01,False
joint_coop,dyad cooperation,Claude-Haiku-4.5,2000,0.0028163740050059696,-0.0069688640073561695,0.012601612017368109,0.5726764213986608,0.000251921895379148,0.00281637400500619,-0.007045748631520067,0.011771277936389485,0.08075000000000004,0.40700000000000003,0.40125,1.0,0.25,False
joint_coop,dyad cooperation,Qwen3-235B-A22B,2000,-0.01690679420433428,-0.023118621057579666,-0.010694967351088897,9.583221121547283e-08,0.007561284843581539,-0.016906794204334177,-0.023419835491435823,-0.010422594046051484,0.09475000000000006,0.47625,0.41125,0.1,100.0,False
joint_coop,dyad cooperation,GPT-5.4-Nano,2000,0.038024559768063626,0.03070868981841022,0.04534042971771703,2.2665046779965863e-24,0.04271205139105971,0.03802455976806359,0.030370299149266526,0.04561760976761419,0.24275000000000002,0.43775,0.653,5.0,0.01,False
joint_coop,dyad cooperation,Gemini-3.1-Flash-Lite,2000,-0.015714495939672654,-0.01874897607788342,-0.01268001580146189,3.315059228478215e-24,0.007866558414294955,-0.0157144959396723,-0.018917774702711852,-0.012549848686014728,0.07174999999999998,0.64125,0.5765,0.1,1000.0,False
joint_coop,dyad cooperation,Grok-4.20-Non-Reasoning,2000,0.09301069382963878,0.08496864575321364,0.10105274190606392,9.258990585492319e-114,0.1342948835043154,0.09301069382963892,0.08514555091101345,0.10149493963138335,0.636,0.27449999999999997,0.8647499999999999,2.0,0.01,False
joint_coop,dyad cooperation,Gemini-3.5-Flash-Lite,2000,-0.021035565800480466,-0.033309287344947286,-0.008761844256013647,0.0007819000278856305,0.01239538900428283,-0.021035565800479883,-0.03282607671006479,-0.00819865481380691,0.1904999999999999,0.79175,0.6815000000000001,0.25,1000.0,False
joint_utility,dyad welfare,all,12000,0.004799797417658257,0.003021718869291577,0.006577875966024936,1.21792937071607e-07,0.0025068036079515243,0.004799797417658179,0.003073250231850387,0.0065796973086851545,0.05001666666666671,0.5679166666666666,0.6023083333333333,0.25,0.01,False
joint_utility,dyad welfare,Claude-Haiku-4.5,2000,0.00023101930208126905,-0.003881431344799014,0.004343469948961552,0.9123283912623084,9.487186718892815e-06,0.00023101930208172975,-0.003894814483403475,0.0039668563312804835,0.031749999999999945,0.5354,0.52695,1.0,0.25,False
joint_utility,dyad welfare,Qwen3-235B-A22B,2000,-0.006943172146737356,-0.010194050866417274,-0.003692293427057438,2.8384066549972135e-05,0.010662851802759166,-0.006943172146736234,-0.01026053545901459,-0.003690958371948916,0.040349999999999886,0.53645,0.50965,0.1,100.0,False
joint_utility,dyad welfare,GPT-5.4-Nano,2000,0.01459577940877778,0.011466478860552408,0.017725079957003155,6.146452866781132e-20,0.031658825755478626,0.014595779408778034,0.01144740409996989,0.017673009095708146,0.09924999999999995,0.53715,0.6214,5.0,0.01,False
joint_utility,dyad welfare,Gemini-3.1-Flash-Lite,2000,-0.006217460677953147,-0.00743269429534321,-0.005002227060563084,1.1516720023148166e-23,0.004720921963480618,-0.0062174606779525415,-0.007397057679048483,-0.004940017003503051,0.030750000000000055,0.60565,0.5797,0.1,1000.0,False
joint_utility,dyad welfare,Grok-4.20-Non-Reasoning,2000,0.03926651353525567,0.035974798733570595,0.04255822833694074,6.796478512592407e-121,0.13442721616051911,0.03926651353525561,0.03592031483891573,0.042619448639944206,0.2661,0.4889,0.73545,2.0,0.01,False
joint_utility,dyad welfare,Gemini-3.5-Flash-Lite,2000,-0.012133894915478019,-0.017519960675739566,-0.006747829155216471,1.007920346029332e-05,0.02018728833223371,-0.012133894915477521,-0.01722413859019918,-0.006720242295545247,0.0925999999999999,0.70395,0.6407,0.25,1000.0,False
utility_gap,within-dyad utility gap,all,12000,0.00038740480093880404,-0.0025520694554282213,0.0033268790573058294,0.7961666552816613,2.8073808131523492e-06,0.0003874048009392928,-0.0026263190745793585,0.003202956942375855,0.05083333333333334,0.2786666666666667,0.28391666666666665,0.5,0.25,False
utility_gap,within-dyad utility gap,Claude-Haiku-4.5,2000,-0.0002047478972391798,-0.00460446782611474,0.004194972031636381,0.9273257202344758,2.2775042640699183e-06,-0.00020474789723906822,-0.004424305332226496,0.004048698884189387,0.05299999999999999,0.153,0.1535,2.0,0.01,False
utility_gap,within-dyad utility gap,Qwen3-235B-A22B,2000,-0.005192612774386991,-0.01605613859847603,0.005670913049702048,0.34884330565206023,0.00033183236015388307,-0.0051926127743866105,-0.0151534540664603,0.006243892116953238,0.08900000000000002,0.5395,0.5085000000000001,5.0,0.1,False
utility_gap,within-dyad utility gap,GPT-5.4-Nano,2000,0.0043460559478607115,-0.00174200106261154,0.010434112958332964,0.16176760447710548,0.0010407943434697087,0.0043460559478607766,-0.0017696154543201045,0.010277790386161886,0.04300000000000001,0.2065,0.21,100.0,5.0,False
utility_gap,within-dyad utility gap,Gemini-3.1-Flash-Lite,2000,0.0030766809126362587,-0.0034196529207466716,0.009573014746019189,0.35328094521620124,0.00013487685215485268,0.00307668091263644,-0.0037751969659584965,0.009640827791088356,0.09499999999999997,0.4715,0.498,0.5,0.1,False
utility_gap,within-dyad utility gap,Grok-4.20-Non-Reasoning,2000,-0.021622241477118248,-0.02771114054131058,-0.015533342412925918,3.402421662249228e-12,0.01942751972269019,-0.02162224147711821,-0.02788878416091667,-0.015148480171411766,0.176,0.20199999999999999,0.09050000000000001,0.5,10.0,False
utility_gap,within-dyad utility gap,Gemini-3.5-Flash-Lite,2000,0.0219212940938825,0.015643254495516623,0.028199333692248377,7.717969272238525e-12,0.01922425451801102,0.021921294093882434,0.015326949265505516,0.02783844087045357,0.155,0.0995,0.243,1.0,0.01,False
gini,within-dyad Gini,all,12000,0.000362518466805844,-0.002554449644605678,0.003279486578217366,0.807553982973886,2.6270275648165864e-06,0.00036251846680628204,-0.0026553552883880334,0.0032901372121039722,0.04822629962745173,0.26355785602473114,0.26651513258706355,0.5,0.25,False
gini,within-dyad Gini,Claude-Haiku-4.5,2000,0.0009336723973513352,-0.003466511279386646,0.005333856074089316,0.6774951734006283,4.9197094174613376e-05,0.0009336723973513466,-0.0032827022307342925,0.005106041087483822,0.05585750586293914,0.1491756274818498,0.1553384971107387,2.0,0.01,False
gini,within-dyad Gini,Qwen3-235B-A22B,2000,-0.005697756153385516,-0.016643040912015863,0.0052475286052448295,0.30758954682995254,0.00040966256030716686,-0.005697756153384966,-0.015905466923292467,0.006297655512097219,0.0699664397365865,0.5166296912100337,0.48402639085345955,5.0,0.1,False
gini,within-dyad Gini,GPT-5.4-Nano,2000,-0.0005435345338256309,-0.006240711473657921,0.0051536424060066605,0.8516694375915919,1.864027364917309e-05,-0.0005435345338255558,-0.006382690093929364,0.0050594034487032175,0.050092870299123377,0.1991584228166893,0.17861257920011478,0.01,5.0,False
gini,within-dyad Gini,Gemini-3.1-Flash-Lite,2000,0.009595505932174356,0.0030692272189576644,0.016121784645391046,0.003955229182557843,0.0014035757713765085,0.009595505932174696,0.0028692508870567963,0.016254748874371516,0.10011356917758668,0.4382167413274641,0.49341348445046335,0.5,0.1,False
gini,within-dyad Gini,Grok-4.20-Non-Reasoning,2000,-0.02432110805425356,-0.030398716663224183,-0.01824349944528294,4.3886460894363565e-15,0.028241406271611647,-0.024321108054253394,-0.030666241487824673,-0.01813731256273182,0.1658680172755111,0.20026023928190784,0.07361830128315222,0.1,10.0,False
gini,within-dyad Gini,Gemini-3.5-Flash-Lite,2000,0.022208331212775632,0.016445208940739156,0.027971453484812107,4.261014409144019e-14,0.024130368084986253,0.02220833121277557,0.01656312186113781,0.02773311148250601,0.13617512859401057,0.07790641403044213,0.2140815426244527,1000.0,0.01,False
p_CC,mutual cooperation share,all,12000,0.010633191811920434,0.005736688801397258,0.01552969482244361,2.0789714395834936e-05,0.001529342987217297,0.010633191811920503,0.005963590459564033,0.015591132699394685,0.12525000000000003,0.3348333333333333,0.4135,0.25,0.01,False
p_CC,mutual cooperation share,Claude-Haiku-4.5,2000,-0.0016612774945976602,-0.012594278036431619,0.009271723047236297,0.7658420963753108,6.619067758995012e-05,-0.0016612774945975433,-0.01226909254470123,0.008553882082377005,0.07800000000000001,0.27,0.2335,1.0,0.25,False
p_CC,mutual cooperation share,Qwen3-235B-A22B,2000,-0.01780906652934707,-0.028113145180075412,-0.007504987878618729,0.0007053115594985463,0.011052943697402173,-0.017809066529346995,-0.028392735255255434,-0.008242301668386768,0.122,0.20600000000000002,0.137,0.1,1.0,False
p_CC,mutual cooperation share,GPT-5.4-Nano,2000,0.03495433727582653,0.026277022549180296,0.043631652002472765,2.8982142336102557e-15,0.022622082009197242,0.03495433727582657,0.0265732976060702,0.04329389498270253,0.25349999999999995,0.248,0.45399999999999996,5.0,0.01,False
p_CC,mutual cooperation share,Gemini-3.1-Flash-Lite,2000,-0.015372807450090785,-0.019084253859098427,-0.011661361041083144,4.732697113587976e-16,0.002971573447074105,-0.015372807450090405,-0.019111470476420537,-0.011484778974128428,0.08199999999999996,0.387,0.322,0.1,1000.0,False
p_CC,mutual cooperation share,Grok-4.20-Non-Reasoning,2000,0.10332187384663899,0.09459905603714955,0.11204469165612843,3.153718847242627e-119,0.12975828172743786,0.10332187384663913,0.09442936583931229,0.11219978971072571,0.6945,0.17,0.8125,2.0,0.01,False
p_CC,mutual cooperation share,Gemini-3.5-Flash-Lite,2000,-0.03963390877690836,-0.05441510900621531,-0.02485270854760141,1.477077577859707e-07,0.02650019596065223,-0.03963390877690772,-0.053374080468500895,-0.024370882569443243,0.27249999999999996,0.728,0.522,0.25,1000.0,False
p_DD,mutual defection share,all,12000,-0.016098398740821175,-0.019884265553011576,-0.012312531928630775,7.800468713542171e-17,0.005443720232866656,-0.016098398740820263,-0.020109704445444545,-0.012158533175141668,0.13074999999999998,0.3253333333333333,0.21741666666666665,0.01,2.0,False
p_DD,mutual defection share,Claude-Haiku-4.5,2000,-0.007294025504609902,-0.016647328885949726,0.0020592778767299213,0.12640162493634652,0.0016256474352934758,-0.007294025504609923,-0.01588656584737034,0.0015747512420383734,0.08400000000000002,0.456,0.431,0.25,2.0,False
p_DD,mutual defection share,Qwen3-235B-A22B,2000,0.01600452187932119,0.011353474132199802,0.020655569626442577,1.5371528136994407e-11,0.0029493172109634758,0.016004521879321366,0.011335121188174544,0.02077480524324795,0.08600000000000002,0.2535,0.3145,100.0,0.01,False
p_DD,mutual defection share,GPT-5.4-Nano,2000,-0.041094782260300895,-0.0486705987351823,-0.03351896578541949,2.1206282398283283e-26,0.058883306241189426,-0.041094782260300604,-0.04905933568306198,-0.03403061437926589,0.2395,0.3725,0.14800000000000002,0.01,100.0,False
p_DD,mutual defection share,Gemini-3.1-Flash-Lite,2000,0.016056184429254237,0.011288241019959885,0.02082412783854859,4.105087297295353e-11,0.014719318652945401,0.016056184429254192,0.01122098163195278,0.021589668297187493,0.09249999999999999,0.1045,0.16899999999999998,1000.0,0.5,False
p_DD,mutual defection share,Grok-4.20-Non-Reasoning,2000,-0.0826995138126391,-0.09133320122950844,-0.07406582639576975,1.2345619977772077e-78,0.11431159359867393,-0.08269951381263868,-0.09213197778537491,-0.07349027114635616,0.5775,0.621,0.083,0.01,2.0,False
p_DD,mutual defection share,Gemini-3.5-Flash-Lite,2000,0.0024372228240520087,-0.007995028384107889,0.012869474032211906,0.6470283413493525,0.00021713201556139428,0.0024372228240520507,-0.008251148411600025,0.01241892474621862,0.1565,0.1445,0.159,0.1,0.25,False
p_exploit,exploitation share,all,12000,0.005465206928899454,0.0023623201844224545,0.008568093673376454,0.000556152897406491,0.000565085405518917,0.0054652069288997586,0.0023636840575862812,0.008411791792926098,0.06116666666666665,0.3398333333333333,0.3690833333333334,0.5,0.25,False
p_exploit,exploitation share,Claude-Haiku-4.5,2000,0.008955302999207573,0.0033852008324657627,0.014525405165949383,0.0016264455093792183,0.003501799628681135,0.008955302999207465,0.0037574028446424115,0.014212687691165618,0.09499999999999997,0.274,0.3355,100.0,0.01,False
p_exploit,exploitation share,Qwen3-235B-A22B,2000,0.0018045446500253633,-0.008258526081813664,0.01186761538186439,0.7252376347518794,4.076838618294332e-05,0.0018045446500256333,-0.007448835998830982,0.012782323132574547,0.09200000000000003,0.5405,0.5485,0.5,0.1,False
p_exploit,exploitation share,GPT-5.4-Nano,2000,0.006140444984473986,-0.0010212419516985932,0.013302131920646564,0.09286452278772576,0.0012579630291971178,0.006140444984474031,-0.0006038338824027284,0.013130128213890745,0.05149999999999999,0.3795,0.398,100.0,0.25,False
p_exploit,exploitation share,Gemini-3.1-Flash-Lite,2000,-0.0006833769791641259,-0.006698687342358689,0.005331933384030437,0.8237968664792159,6.815816302130351e-06,-0.0006833769791637854,-0.0075546885942911046,0.005656979189257556,0.07800000000000001,0.5085000000000001,0.509,0.5,0.1,False
p_exploit,exploitation share,Grok-4.20-Non-Reasoning,2000,-0.02062236003400047,-0.027146014596082634,-0.014098705471918303,5.799965885750086e-10,0.016029830526349764,-0.02062236003400045,-0.02718824421713484,-0.014114193517366746,0.20099999999999996,0.209,0.10450000000000001,0.5,10.0,False
p_exploit,exploitation share,Gemini-3.5-Flash-Lite,2000,0.03719668595285572,0.029981803502420447,0.04441156840329099,5.2660793842235824e-24,0.045402529777132106,0.03719668595285566,0.029505864365372187,0.04415163414262071,0.199,0.1275,0.319,1.0,0.01,False
dd_absorbed,locked into mutual defection,all,12000,-0.014180737157880013,-0.01773800612972895,-0.010623468186031076,5.574404697552179e-15,0.004450689878571001,-0.014180737157879333,-0.017966228499246097,-0.01063124737809624,0.11583333333333334,0.18166666666666667,0.08333333333333333,0.01,10.0,False
dd_absorbed,locked into mutual defection,Claude-Haiku-4.5,2000,-0.03334048807829135,-0.04230715044024238,-0.024373825716340315,3.15340491193074e-13,0.048817987568449794,-0.03334048807829126,-0.042943478402538635,-0.02437158376461546,0.23,0.23,0.01,0.01,0.25,False
dd_absorbed,locked into mutual defection,Qwen3-235B-A22B,2000,-0.009966168609392763,-0.016341835005167102,-0.003590502213618425,0.0021859482420213757,0.0010664523028224293,-0.009966168609392562,-0.016760165795953207,-0.003770024978964358,0.10999999999999999,0.25,0.185,1.0,10.0,False
dd_absorbed,locked into mutual defection,GPT-5.4-Nano,2000,-0.0023711148494982995,-0.009321149796721058,0.004578920097724459,0.5037041871980291,0.0003461809301052998,-0.0023711148494982804,-0.009622094741605053,0.004329269591296991,0.060000000000000005,0.07,0.055,0.01,1.0,False
dd_absorbed,locked into mutual defection,Gemini-3.1-Flash-Lite,2000,-0.001994706376484645,-0.007952042544084905,0.003962629791115616,0.5116577972379619,0.00025263631406269305,-0.0019947063764846297,-0.007438605585441489,0.00407194336485777,0.065,0.075,0.03,0.01,0.1,False
dd_absorbed,locked into mutual defection,Grok-4.20-Non-Reasoning,2000,-0.042364653982664466,-0.05166001858411695,-0.03306928938121198,4.155367082310102e-19,0.04547514462875779,-0.042364653982664285,-0.05173014632430335,-0.033047424695797564,0.34,0.34,0.04,0.01,2.0,False
dd_absorbed,locked into mutual defection,Gemini-3.5-Flash-Lite,2000,0.004952708949054948,-0.006492602651054983,0.01639802054916488,0.39636464952886863,0.00036694309904194977,0.004952708949054986,-0.00622916520867462,0.0164691289804561,0.135,0.125,0.18,0.5,10.0,False
