scope,level,strategy,n,n_total,share
scale,0.25,TFT,2,2400,0.0008333333333333334
scale,0.25,WSLS,5,2400,0.0020833333333333333
scale,0.25,GRIM,9,2400,0.00375
scale,0.25,AllD,209,2400,0.08708333333333333
scale,0.25,ambiguous,502,2400,0.20916666666666667
scale,0.25,unclassified,1368,2400,0.57
scale,0.5,AllC,275,2400,0.11458333333333333
scale,0.5,TFT,9,2400,0.00375
scale,0.5,WSLS,2,2400,0.0008333333333333334
scale,0.5,GRIM,11,2400,0.004583333333333333
scale,0.5,AllD,231,2400,0.09625
scale,0.5,ambiguous,355,2400,0.14791666666666667
scale,0.5,unclassified,1517,2400,0.6320833333333333
scale,1.0,AllC,294,2400,0.1225
scale,1.0,TFT,8,2400,0.0033333333333333335
scale,1.0,WSLS,8,2400,0.0033333333333333335
scale,1.0,GRIM,5,2400,0.0020833333333333333
scale,1.0,AllD,230,2400,0.09583333333333334
scale,1.0,ambiguous,415,2400,0.17291666666666666
scale,1.0,unclassified,1440,2400,0.6
scale,2.0,AllC,234,2400,0.0975
scale,2.0,TFT,8,2400,0.0033333333333333335
scale,2.0,WSLS,3,2400,0.00125
scale,2.0,GRIM,9,2400,0.00375
scale,2.0,AllD,156,2400,0.065
scale,2.0,ambiguous,533,2400,0.22208333333333333
scale,2.0,unclassified,1457,2400,0.6070833333333333
scale,5.0,AllC,282,2400,0.1175
scale,5.0,TFT,5,2400,0.0020833333333333333
scale,5.0,WSLS,10,2400,0.004166666666666667
scale,5.0,GRIM,12,2400,0.005
scale,5.0,AllD,218,2400,0.09083333333333334
scale,5.0,ambiguous,466,2400,0.19416666666666665
scale,5.0,unclassified,1407,2400,0.58625
scale,10.0,AllC,207,2400,0.08625
scale,10.0,TFT,11,2400,0.004583333333333333
scale,10.0,WSLS,8,2400,0.0033333333333333335
scale,10.0,GRIM,9,2400,0.00375
scale,10.0,AllD,198,2400,0.0825
scale,10.0,ambiguous,525,2400,0.21875
scale,10.0,unclassified,1442,2400,0.6008333333333333
scale,100.0,AllC,259,2400,0.10791666666666666
scale,100.0,TFT,13,2400,0.005416666666666667
scale,100.0,WSLS,11,2400,0.004583333333333333
scale,100.0,GRIM,14,2400,0.005833333333333334
scale,100.0,AllD,270,2400,0.1125
scale,100.0,ambiguous,313,2400,0.13041666666666665
scale,100.0,unclassified,1520,2400,0.6333333333333333
scale,1000.0,AllC,223,2400,0.09291666666666666
scale,1000.0,TFT,8,2400,0.0033333333333333335
scale,1000.0,WSLS,2,2400,0.0008333333333333334
scale,1000.0,GRIM,26,2400,0.010833333333333334
scale,1000.0,AllD,214,2400,0.08916666666666667
scale,1000.0,ambiguous,480,2400,0.2
scale,1000.0,unclassified,1447,2400,0.6029166666666667
pairing,CvC,AllC,78,6000,0.013
pairing,CvC,TFT,21,6000,0.0035
pairing,CvC,WSLS,21,6000,0.0035
pairing,CvC,GRIM,40,6000,0.006666666666666667
pairing,CvC,AllD,1442,6000,0.24033333333333334
pairing,CvC,ambiguous,2203,6000,0.36716666666666664
pairing,CvC,unclassified,2195,6000,0.36583333333333334
pairing,CvS,AllC,982,6000,0.16366666666666665
pairing,CvS,TFT,20,6000,0.0033333333333333335
pairing,CvS,WSLS,11,6000,0.0018333333333333333
pairing,CvS,GRIM,24,6000,0.004
pairing,CvS,AllD,724,6000,0.12066666666666667
pairing,CvS,ambiguous,569,6000,0.09483333333333334
pairing,CvS,unclassified,3670,6000,0.6116666666666667
pairing,SvC,AllC,1231,6000,0.20516666666666666
pairing,SvC,TFT,3,6000,0.0005
pairing,SvC,WSLS,6,6000,0.001
pairing,SvC,GRIM,12,6000,0.002
pairing,SvC,AllD,343,6000,0.057166666666666664
pairing,SvC,ambiguous,532,6000,0.08866666666666667
pairing,SvC,unclassified,3873,6000,0.6455
pairing,SvS,AllC,375,6000,0.0625
pairing,SvS,TFT,31,6000,0.005166666666666667
pairing,SvS,WSLS,23,6000,0.003833333333333333
pairing,SvS,GRIM,33,6000,0.0055
pairing,SvS,AllD,143,6000,0.023833333333333335
pairing,SvS,ambiguous,941,6000,0.15683333333333332
pairing,SvS,unclassified,4454,6000,0.7423333333333333
language,en,AllC,481,4800,0.10020833333333333
language,en,TFT,12,4800,0.0025
language,en,WSLS,9,4800,0.001875
language,en,GRIM,26,4800,0.005416666666666667
language,en,AllD,514,4800,0.10708333333333334
language,en,ambiguous,1071,4800,0.223125
language,en,unclassified,2687,4800,0.5597916666666667
language,fr,AllC,439,4800,0.09145833333333334
language,fr,TFT,12,4800,0.0025
language,fr,WSLS,7,4800,0.0014583333333333334
language,fr,GRIM,23,4800,0.004791666666666666
language,fr,AllD,500,4800,0.10416666666666667
language,fr,ambiguous,888,4800,0.185
language,fr,unclassified,2931,4800,0.610625
language,ar,AllC,725,4800,0.15104166666666666
language,ar,TFT,22,4800,0.004583333333333333
language,ar,WSLS,17,4800,0.0035416666666666665
language,ar,GRIM,15,4800,0.003125
language,ar,AllD,622,4800,0.12958333333333333
language,ar,ambiguous,831,4800,0.173125
language,ar,unclassified,2568,4800,0.535
language,cn,AllC,662,4800,0.13791666666666666
language,cn,TFT,17,4800,0.0035416666666666665
language,cn,WSLS,18,4800,0.00375
language,cn,GRIM,23,4800,0.004791666666666666
language,cn,AllD,615,4800,0.128125
language,cn,ambiguous,511,4800,0.10645833333333334
language,cn,unclassified,2954,4800,0.6154166666666666
language,vn,AllC,359,4800,0.07479166666666667
language,vn,TFT,12,4800,0.0025
language,vn,WSLS,10,4800,0.0020833333333333333
language,vn,GRIM,22,4800,0.004583333333333333
language,vn,AllD,401,4800,0.08354166666666667
language,vn,ambiguous,944,4800,0.19666666666666666
language,vn,unclassified,3052,4800,0.6358333333333334
