cellkey,model,language,scale,pairing,n_games,observed_coop,predicted_coop,resid,sd_within,z,p_perm,p_fdr,verdict,what_is_unusual,note
Qwen3-235B-A22B | cn | 0.1 | SvS,Qwen3-235B-A22B,cn,0.1,SvS,10,1.0,0.39326666666667054,0.6067333333333295,0.0,7.134014713075296,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Claude-Haiku-4.5 | ar | 5.0 | CvC,Claude-Haiku-4.5,ar,5.0,CvC,10,1.0,0.39514166666666745,0.6048583333333326,0.0,7.111968326545804,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | ar | 100.0 | CvC,Grok-4.20-Non-Reasoning,ar,100.0,CvC,10,0.05,0.6521083333333413,-0.6021083333333412,0.06236095644623237,-7.079633626302596,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Qwen3-235B-A22B | ar | 0.1 | SvS,Qwen3-235B-A22B,ar,0.1,SvS,10,0.985,0.383891666666672,0.6011083333333279,0.04743416490252571,7.067875553486691,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | ar | 0.1 | CvC,Grok-4.20-Non-Reasoning,ar,0.1,CvC,10,0.01,0.6110250000000046,-0.6010250000000046,0.03162277660168379,-7.066895714085496,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Claude-Haiku-4.5 | ar | 1.0 | CvC,Claude-Haiku-4.5,ar,1.0,CvC,10,0.99,0.39068333333334465,0.5993166666666554,0.03162277660168379,7.046809006358405,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Gemini-3.5-Flash-Lite | ar | 0.01 | CvC,Gemini-3.5-Flash-Lite,ar,0.01,CvC,10,0.025,0.621033333333338,-0.596033333333338,0.026352313834736497,-7.008203333946883,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Claude-Haiku-4.5 | ar | 2.0 | CvC,Claude-Haiku-4.5,ar,2.0,CvC,10,1.0,0.40410000000000046,0.5958999999999995,0.0,7.0066355909047235,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | cn | 0.01 | CvC,Grok-4.20-Non-Reasoning,cn,0.01,CvC,10,0.0,0.592608333333342,-0.592608333333342,0.0,-6.967931934552991,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Claude-Haiku-4.5 | fr | 0.01 | CvS,Claude-Haiku-4.5,fr,0.01,CvS,10,0.9400000000000001,0.35545000000001076,0.5845499999999892,0.03162277660168379,6.873181464445853,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | ar | 0.01 | CvC,Grok-4.20-Non-Reasoning,ar,0.01,CvC,10,0.0,0.5832333333333435,-0.5832333333333435,0.0,-6.857700001905363,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | vn | 0.01 | CvC,Grok-4.20-Non-Reasoning,vn,0.01,CvC,10,0.0,0.5792541666666774,-0.5792541666666774,0.0,-6.810912670492703,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | fr | 0.01 | CvC,Grok-4.20-Non-Reasoning,fr,0.01,CvC,10,0.04,0.6101916666666765,-0.5701916666666764,0.03162277660168379,-6.704355135599967,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | cn | 0.25 | CvC,Grok-4.20-Non-Reasoning,cn,0.25,CvC,10,0.15,0.7174416666666694,-0.5674416666666694,0.16666666666666666,-6.6720204353565755,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Qwen3-235B-A22B | en | 0.1 | SvS,Qwen3-235B-A22B,en,0.1,SvS,10,1.0,0.43632916666667193,0.563670833333328,0.0,6.627682702447095,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Gemini-3.5-Flash-Lite | vn | 0.1 | CvC,Gemini-3.5-Flash-Lite,vn,0.1,CvC,10,0.085,0.644845833333333,-0.5598458333333329,0.024152294576982397,-6.582708073926914,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | en | 0.01 | SvC,Grok-4.20-Non-Reasoning,en,0.01,SvC,10,0.095,0.6534875000000099,-0.5584875000000099,0.26713500540197105,-6.566736691685643,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Claude-Haiku-4.5 | ar | 0.5 | CvC,Claude-Haiku-4.5,ar,0.5,CvC,10,0.925,0.36830833333333907,0.556691666666661,0.09501461875826149,6.545621152587177,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | en | 0.1 | SvC,Grok-4.20-Non-Reasoning,en,0.1,SvC,10,0.125,0.681279166666671,-0.556279166666671,0.29650744791095324,-6.540770947550798,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | en | 0.01 | CvS,Grok-4.20-Non-Reasoning,en,0.01,CvS,10,0.125,0.6791041666666763,-0.5541041666666763,0.23124061542519345,-6.515197139176607,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | ar | 0.01 | SvC,Grok-4.20-Non-Reasoning,ar,0.01,SvC,10,0.05,0.60105000000001,-0.55105000000001,0.04714045207910317,-6.479286025118512,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Claude-Haiku-4.5 | fr | 0.01 | SvS,Claude-Haiku-4.5,fr,0.01,SvS,10,0.9,0.3627333333333449,0.5372666666666551,0.0,6.317220588141187,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | vn | 0.01 | SvC,Grok-4.20-Non-Reasoning,vn,0.01,SvC,10,0.065,0.5970708333333439,-0.5320708333333439,0.0241522945769824,-6.256127601469619,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Gemini-3.5-Flash-Lite | en | 1000.0 | CvS,Gemini-3.5-Flash-Lite,en,1000.0,CvS,10,0.28500000000000003,0.8101958333333306,-0.5251958333333306,0.1292069829554287,-6.17529085086119,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | en | 0.1 | CvC,Grok-4.20-Non-Reasoning,en,0.1,CvC,10,0.13999999999999999,0.6634625000000045,-0.5234625000000046,0.30983866769659335,-6.154910191313977,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Qwen3-235B-A22B | cn | 0.01 | SvS,Qwen3-235B-A22B,cn,0.01,SvS,10,0.885,0.3654750000000094,0.5195249999999907,0.10013879257199865,6.108612779601803,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | fr | 100.0 | CvC,Grok-4.20-Non-Reasoning,fr,100.0,CvC,10,0.15999999999999998,0.6790666666666743,-0.5190666666666742,0.20385179801894204,-6.1032236628947825,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Gemini-3.1-Flash-Lite | vn | 0.01 | CvC,Gemini-3.1-Flash-Lite,vn,0.01,CvC,10,1.0,0.4834791666666682,0.5165208333333318,0.0,6.073289569184581,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | ar | 0.1 | SvC,Grok-4.20-Non-Reasoning,ar,0.1,SvC,10,0.11499999999999999,0.6288416666666711,-0.5138416666666711,0.14346892811104897,-6.041787732432458,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
