Z,beta,epsilon,alld_at_min_lambda,alld_at_max_lambda,rise,monotone_non_decreasing,largest_decrease,alld_ge_90pct_by
100,0.01,0.1,0.25186256030980714,1.0,0.7481374396901929,True,1.4522829937080317e-05,100.0
100,0.01,0.2,0.2517380720534826,1.0,0.7482619279465175,True,2.5650592760939617e-10,10.0
100,0.05,0.0,0.25651643261624385,1.0,0.7434835673837561,False,-0.020618864731853037,100.0
100,0.05,0.05,0.2586749819082149,1.0,0.7413250180917851,True,1.4348676438125096e-06,100.0
100,0.05,0.1,0.2593299670561257,1.0,0.7406700329438742,True,0.0,5.0
100,0.05,0.2,0.25873401156016473,1.0,0.7412659884398353,True,0.0,2.0
100,0.1,0.0,0.26278748936007906,1.0,0.737212510639921,False,-0.020618864731853037,100.0
100,0.1,0.05,0.267268357742722,1.0,0.732731642257278,True,4.037326029049382e-12,10.0
100,0.1,0.1,0.26868467488185593,1.0,0.7313153251181441,True,0.0,2.0
100,0.1,0.2,0.2675693441043329,1.0,0.732430655895667,True,0.0,1.0
100,0.5,0.0,0.3008557158628012,1.0,0.6991442841371989,False,-0.026694169046199867,5.0
100,0.5,0.05,0.32913037415220725,1.0,0.6708696258477927,True,0.0,2.0
100,0.5,0.1,0.34111980222308047,1.0,0.6588801977769195,True,0.0,0.5
100,0.5,0.2,0.34030148461711884,1.0,0.6596985153828812,True,0.0,0.25
100,1.0,0.0,0.3188707570326273,1.0,0.6811292429673728,False,-0.035718673651428,2.0
100,1.0,0.05,0.3815258038313269,1.0,0.618474196168673,True,0.0,1.0
100,1.0,0.1,0.4159709189174823,1.0,0.5840290810825177,True,0.0,0.25
100,1.0,0.2,0.42944446465839886,1.0,0.5705555353416012,True,0.0,0.1
200,0.01,0.0,0.25255789957972297,1.0,0.747442100420277,False,-0.026952674870936166,1000.0
200,0.01,0.05,0.2534165157189963,1.0,0.7465834842810037,True,0.006596579810083769,100.0
200,0.01,0.1,0.25367695339189966,1.0,0.7463230466081003,True,8.720254518479464e-10,10.0
200,0.01,0.2,0.2534462870512079,1.0,0.746553712948792,True,0.0,5.0
200,0.05,0.0,0.26240375364527346,1.0,0.7375962463547265,False,-0.021930130551842508,100.0
200,0.05,0.05,0.26695796591294624,1.0,0.7330420340870538,True,9.405436429688052e-10,10.0
200,0.05,0.1,0.2684277687931336,1.0,0.7315722312068664,True,0.0,2.0
200,0.05,0.2,0.267393415058639,1.0,0.732606584941361,True,0.0,1.0
200,0.1,0.0,0.27367149211685216,1.0,0.7263285078831478,False,-0.021930130551842508,100.0
200,0.1,0.05,0.283426077532966,1.0,0.716573922467034,True,0.0,5.0
200,0.1,0.1,0.2868240956508274,1.0,0.7131759043491726,True,0.0,1.0
200,0.1,0.2,0.2851298271221413,1.0,0.7148701728778587,True,0.0,0.5
200,0.5,0.0,0.31585635464982226,1.0,0.6841436453501777,False,-0.0388548083327897,5.0
200,0.5,0.05,0.3786984182969468,1.0,0.6213015817030532,True,0.0,1.0
200,0.5,0.1,0.4134568318799598,1.0,0.5865431681200401,True,0.0,0.25
200,0.5,0.2,0.4275623689719192,1.0,0.5724376310280808,True,0.0,0.1
200,1.0,0.0,0.31420880197998846,1.0,0.6857911980200115,False,-0.048898607069861766,2.0
200,1.0,0.05,0.4268104334429932,1.0,0.5731895665570068,True,0.0,0.5
200,1.0,0.1,0.5086051945886652,1.0,0.49139480541133485,True,0.0,0.1
200,1.0,0.2,0.5739128590013309,1.0,0.42608714099866907,True,0.0,0.1
500,0.01,0.0,0.2562124323960839,1.0,0.7437875676039161,False,-0.02267189365491501,100.0
500,0.01,0.05,0.2584299389434412,1.0,0.7415700610565588,True,8.000448771228186e-05,100.0
500,0.01,0.1,0.25912746946694004,1.0,0.7408725305330599,True,0.0,5.0
500,0.01,0.2,0.2585953800459486,1.0,0.7414046199540514,True,0.0,2.0
500,0.05,0.0,0.27822791277783737,1.0,0.7217720872221627,False,-0.022878935575980364,10.0
500,0.05,0.05,0.29091573274375193,1.0,0.7090842672562481,True,0.0,5.0
500,0.05,0.1,0.29554394234420267,1.0,0.7044560576557973,True,0.0,1.0
500,0.05,0.2,0.29382025954862984,1.0,0.7061797404513701,True,0.0,0.5
500,0.1,0.0,0.29789807466738816,1.0,0.7021019253326118,False,-0.029444077958066195,5.0
500,0.1,0.05,0.32660710881983934,1.0,0.6733928911801607,True,0.0,2.0
500,0.1,0.1,0.33897162847730755,1.0,0.6610283715226924,True,0.0,0.5
500,0.1,0.2,0.33878743475987116,1.0,0.6612125652401288,True,0.0,0.25
500,0.5,0.0,0.3089292731565165,1.0,0.6910707268434835,False,-0.043829077405080075,1.0
500,0.5,0.05,0.43842087283375636,1.0,0.5615791271662436,True,0.0,0.5
500,0.5,0.1,0.5388778243420408,1.0,0.4611221756579592,True,0.0,0.1
500,0.5,0.2,0.6284817917872416,1.0,0.3715182082127584,True,0.0,0.1
500,1.0,0.0,0.29604012257650175,1.0,0.7039598774234983,True,0.0,0.5
500,1.0,0.05,0.49681306216867643,1.0,0.5031869378313236,True,0.0,0.25
500,1.0,0.1,0.652993545565917,1.0,0.34700645443408296,True,0.0,0.1
500,1.0,0.2,0.8051774499592538,1.0,0.19482255004074622,True,0.0,0.1
