lam,epsilon,Z,beta,r,ALLC,ALLD,TFT,WSLS,max_float64_mpmath_diff,n_absorbing_float64,solver
0.5,0.1,100,0.1,10,0.023673994455694493,0.6607605540520806,0.16578829299657788,0.14977715849564702,4.746203430272544e-15,0,mpmath_dps200_tree_theorem
1.0,0.1,100,0.1,10,0.01370445166595113,0.8024342049953351,0.09392037297508059,0.0899409703636332,4.365097172609467e-11,0,mpmath_dps200_tree_theorem
2.0,0.1,100,0.1,10,0.005015844424072728,0.9370601268826704,0.026627893297202682,0.03129613539605422,8.955728855036815e-08,0,mpmath_dps200_tree_theorem
5.0,0.1,100,0.1,10,0.00021705684774586426,0.9975267671737856,0.0008488976099353261,0.0014072783685331234,1.706079093104218e-11,0,mpmath_dps200_tree_theorem
10.0,0.1,100,0.1,10,1.2962203318784468e-06,0.9999854771700629,4.168383115524999e-06,9.058226489688419e-06,8.818297383538648e-15,0,mpmath_dps200_tree_theorem
100.0,0.1,100,0.1,10,2.9674886477380125e-46,1.0,5.956967878499358e-46,1.5088926135853477e-45,1.5088926135853477e-45,1,mpmath_dps200_tree_theorem
1000.0,0.1,100,0.1,10,0.0,1.0,0.0,0.0,0.0,1,mpmath_dps200_tree_theorem
0.01,0.2,100,0.1,10,0.23289122476978996,0.2675693441043329,0.247574050263072,0.2519653808628051,4.0245584642661925e-15,0,mpmath_dps200_tree_theorem
0.1,0.2,100,0.1,10,0.11109467587336383,0.42944446465839886,0.22051907800373866,0.23894178146449865,7.66053886991358e-15,0,mpmath_dps200_tree_theorem
0.25,0.2,100,0.1,10,0.03312924236523453,0.6340191312037079,0.17211212403392429,0.1607395023971333,5.440092820663267e-15,0,mpmath_dps200_tree_theorem
0.5,0.2,100,0.1,10,0.010231481791171261,0.8108064085904806,0.10988144453584127,0.06908066508250692,1.1102230246251565e-14,0,mpmath_dps200_tree_theorem
1.0,0.2,100,0.1,10,0.002385753173537761,0.9389246834471681,0.04151154774616299,0.017178015633131167,2.0083195328979286e-08,0,mpmath_dps200_tree_theorem
2.0,0.2,100,0.1,10,0.00020375815765033106,0.9929747744865474,0.005181062373809425,0.0016404049819929319,1.914325392649019e-07,0,mpmath_dps200_tree_theorem
5.0,0.2,100,0.1,10,2.2960667735130466e-07,0.9999891067089347,8.725509000141769e-06,1.938175387746743e-06,1.9872992140790302e-14,0,mpmath_dps200_tree_theorem
10.0,0.2,100,0.1,10,2.7876940410468686e-12,0.9999999997434941,2.1894730489098472e-10,3.4770897922620144e-11,2.5650592760939617e-10,1,mpmath_dps200_tree_theorem
100.0,0.2,100,0.1,10,8.45026305184353e-106,1.0,5.1757147554583814e-95,5.1820594012003485e-96,5.1757147554583814e-95,1,mpmath_dps200_tree_theorem
1000.0,0.2,100,0.1,10,0.0,1.0,0.0,0.0,0.0,1,mpmath_dps200_tree_theorem
0.01,0.3,100,0.1,10,0.23774407336672343,0.26348450312085986,0.24849084292337523,0.2502805805890415,1.887379141862766e-15,0,mpmath_dps200_tree_theorem
0.1,0.3,100,0.1,10,0.14159552948698795,0.39427736263418306,0.22794873965031384,0.23617836822851518,3.802513859341161e-15,0,mpmath_dps200_tree_theorem
0.25,0.3,100,0.1,10,0.04996366005583905,0.6024334713708982,0.1775191298203205,0.17008373875294222,9.992007221626409e-15,0,mpmath_dps200_tree_theorem
0.5,0.3,100,0.1,10,0.008866188244514746,0.8221433890844592,0.09976415303333094,0.06922626963769511,6.439293542825908e-15,0,mpmath_dps200_tree_theorem
1.0,0.3,100,0.1,10,0.0006052379825149656,0.9654033510484444,0.025248134027667065,0.008743276941373586,3.197442310920451e-14,0,mpmath_dps200_tree_theorem
2.0,0.3,100,0.1,10,4.929693629971318e-06,0.9985439788911598,0.0012294026804154966,0.00022168873479478025,4.816103071902944e-11,0,mpmath_dps200_tree_theorem
5.0,0.3,100,0.1,10,2.1794011264248364e-12,0.9999998895473077,9.87497669961048e-08,1.1700745966292306e-08,1.1045269232567989e-07,1,mpmath_dps200_tree_theorem
10.0,0.3,100,0.1,10,4.3899836116069154e-23,0.9999999999999853,1.3328921099019372e-14,1.2813964738640986e-15,1.4654943925052066e-14,1,mpmath_dps200_tree_theorem
100.0,0.3,100,0.1,10,1.0651480376727666e-216,1.0,1.4751520329473435e-138,1.89020144086811e-139,1.4751520329473435e-138,1,mpmath_dps200_tree_theorem
1000.0,0.3,100,0.1,10,0.0,1.0,0.0,0.0,0.0,1,mpmath_dps200_tree_theorem
