model,factor,level,archetype,share,lo,hi,n
Gemini-3.5-Flash-Lite,personality,cooperative,Ambiguous,0.24,0.1965382632603964,0.28737440054807023,600
Gemini-3.5-Flash-Lite,personality,selfish,AllC,0.425,0.38666666666666666,0.463743676222597,600
Gemini-3.5-Flash-Lite,personality,selfish,TFT,0.14,0.11148086522462562,0.17032133838565203,600
Gemini-3.5-Flash-Lite,personality,selfish,WSLS,0.195,0.16308953679935634,0.2283392857142857,600
Gemini-3.5-Flash-Lite,personality,selfish,AllD,0.04666666666666667,0.030793541952375013,0.06435643564356436,600
Gemini-3.5-Flash-Lite,personality,selfish,Ambiguous,0.19333333333333333,0.1530747773318978,0.23676141739055642,600
Gemini-3.5-Flash-Lite,dyad,CvC,AllC,0.09,0.05333333333333334,0.13,300
Gemini-3.5-Flash-Lite,dyad,CvC,TFT,0.08,0.04666666666666667,0.11666666666666667,300
Gemini-3.5-Flash-Lite,dyad,CvC,WSLS,0.13333333333333333,0.08333333333333333,0.18674999999999956,300
Gemini-3.5-Flash-Lite,dyad,CvC,AllD,0.2966666666666667,0.22658333333333333,0.36666666666666664,300
Gemini-3.5-Flash-Lite,dyad,CvC,Ambiguous,0.4,0.32,0.48,300
Gemini-3.5-Flash-Lite,dyad,CvS,AllC,0.5366666666666666,0.48333333333333334,0.5933333333333334,300
Gemini-3.5-Flash-Lite,dyad,CvS,TFT,0.17,0.13,0.21333333333333335,300
Gemini-3.5-Flash-Lite,dyad,CvS,WSLS,0.16666666666666666,0.12666666666666668,0.21,300
Gemini-3.5-Flash-Lite,dyad,CvS,AllD,0.04666666666666667,0.023333333333333334,0.07333333333333333,300
Gemini-3.5-Flash-Lite,dyad,CvS,Ambiguous,0.08,0.05,0.11008333333333288,300
Gemini-3.5-Flash-Lite,dyad,SvC,AllC,0.55,0.49,0.6066666666666667,300
Gemini-3.5-Flash-Lite,dyad,SvC,TFT,0.1,0.06666666666666667,0.13666666666666666,300
Gemini-3.5-Flash-Lite,dyad,SvC,WSLS,0.22333333333333333,0.18,0.2733333333333333,300
Gemini-3.5-Flash-Lite,dyad,SvC,AllD,0.05,0.02666666666666667,0.07666666666666666,300
Gemini-3.5-Flash-Lite,dyad,SvC,Ambiguous,0.07666666666666666,0.04991666666666667,0.10666666666666667,300
Gemini-3.5-Flash-Lite,dyad,SvS,AllC,0.3,0.25333333333333335,0.35,300
Gemini-3.5-Flash-Lite,dyad,SvS,TFT,0.18,0.13333333333333333,0.22666666666666666,300
Gemini-3.5-Flash-Lite,dyad,SvS,WSLS,0.16666666666666666,0.12666666666666668,0.21,300
Gemini-3.5-Flash-Lite,dyad,SvS,AllD,0.043333333333333335,0.023333333333333334,0.06666666666666667,300
Gemini-3.5-Flash-Lite,dyad,SvS,Ambiguous,0.31,0.24,0.38333333333333336,300
GPT-4o,scale_nominal,0.1,AllC,0.225,0.19,0.26,400
GPT-4o,scale_nominal,0.1,TFT,0.0875,0.0625,0.1175,400
GPT-4o,scale_nominal,0.1,WSLS,0.115,0.085,0.1475,400
GPT-4o,scale_nominal,0.1,AllD,0.5675,0.5225,0.6075,400
GPT-4o,scale_nominal,0.1,Ambiguous,0.005,0.0,0.0125,400
GPT-4o,scale_nominal,1.0,AllC,0.29,0.2475,0.335,400
GPT-4o,scale_nominal,1.0,TFT,0.1325,0.1,0.1675,400
GPT-4o,scale_nominal,1.0,WSLS,0.25,0.2075,0.29,400
GPT-4o,scale_nominal,1.0,AllD,0.2725,0.23,0.315,400
GPT-4o,scale_nominal,1.0,Ambiguous,0.055,0.025,0.09,400
GPT-4o,scale_nominal,10.0,AllC,0.255,0.2175,0.2925,400
GPT-4o,scale_nominal,10.0,TFT,0.1375,0.1025,0.17,400
GPT-4o,scale_nominal,10.0,WSLS,0.25,0.2125,0.29,400
GPT-4o,scale_nominal,10.0,AllD,0.2425,0.2025,0.285,400
GPT-4o,scale_nominal,10.0,Ambiguous,0.115,0.0725,0.1625,400
GPT-4o,language,ar,AllC,0.3375,0.2833333333333333,0.39166666666666666,240
GPT-4o,language,ar,TFT,0.1125,0.075,0.15,240
GPT-4o,language,ar,WSLS,0.225,0.175,0.275,240
GPT-4o,language,ar,AllD,0.325,0.25833333333333336,0.3958333333333333,240
GPT-4o,language,ar,Ambiguous,0.0,0.0,0.0,240
GPT-4o,language,cn,AllC,0.29583333333333334,0.24583333333333332,0.3416666666666667,240
GPT-4o,language,cn,TFT,0.1125,0.075,0.15427083333333277,240
GPT-4o,language,cn,WSLS,0.17916666666666667,0.13333333333333333,0.225,240
GPT-4o,language,cn,AllD,0.3458333333333333,0.2916666666666667,0.4041666666666667,240
GPT-4o,language,cn,Ambiguous,0.06666666666666667,0.025,0.11666666666666667,240
GPT-4o,language,en,AllC,0.15,0.10833333333333334,0.19583333333333333,240
GPT-4o,language,en,TFT,0.14583333333333334,0.10416666666666667,0.1875,240
GPT-4o,language,en,WSLS,0.175,0.12916666666666668,0.225,240
GPT-4o,language,en,AllD,0.4041666666666667,0.35,0.4583333333333333,240
GPT-4o,language,en,Ambiguous,0.125,0.06666666666666667,0.18333333333333332,240
GPT-4o,language,fr,AllC,0.25416666666666665,0.2125,0.3,240
GPT-4o,language,fr,TFT,0.1,0.0625,0.1375,240
GPT-4o,language,fr,WSLS,0.22083333333333333,0.17083333333333334,0.2708333333333333,240
GPT-4o,language,fr,AllD,0.375,0.32083333333333336,0.43333333333333335,240
GPT-4o,language,fr,Ambiguous,0.05,0.016666666666666666,0.09166666666666666,240
GPT-4o,language,vn,AllC,0.24583333333333332,0.19583333333333333,0.29583333333333334,240
GPT-4o,language,vn,TFT,0.125,0.07916666666666666,0.17083333333333334,240
GPT-4o,language,vn,WSLS,0.225,0.17916666666666667,0.275,240
GPT-4o,language,vn,AllD,0.3541666666666667,0.2916666666666667,0.4166666666666667,240
GPT-4o,language,vn,Ambiguous,0.05,0.016666666666666666,0.0875,240
GPT-4o,personality,cooperative,AllC,0.2570951585976628,0.21972818098545044,0.2963607357981963,599
GPT-4o,personality,cooperative,TFT,0.1285475792988314,0.10247833098165693,0.1567472513047919,599
GPT-4o,personality,cooperative,WSLS,0.08013355592654424,0.05794528970848151,0.1029423978893883,599
GPT-4o,personality,cooperative,AllD,0.42237061769616024,0.3752014462809917,0.4691253682001578,599
GPT-4o,personality,cooperative,Ambiguous,0.11185308848080133,0.07665772867920592,0.14671912757071595,599
GPT-4o,personality,selfish,AllC,0.2562396006655574,0.22350594177564123,0.2898373054896743,601
GPT-4o,personality,selfish,TFT,0.10981697171381032,0.08388910435848144,0.13758389261744966,601
GPT-4o,personality,selfish,WSLS,0.32945091514143093,0.2913253470586103,0.3665091627290682,601
GPT-4o,personality,selfish,AllD,0.2995008319467554,0.26666383701188456,0.33165891337877507,601
GPT-4o,personality,selfish,Ambiguous,0.004991680532445923,0.0,0.01164773987798114,601
GPT-4o,dyad,CvC,AllC,0.1644295302013423,0.11073825503355705,0.2182046979865767,298
GPT-4o,dyad,CvC,TFT,0.09731543624161074,0.06040268456375839,0.13758389261744966,298
GPT-4o,dyad,CvC,WSLS,0.03355704697986577,0.013338926174496649,0.06040268456375839,298
GPT-4o,dyad,CvC,AllD,0.4899328859060403,0.4160234899328859,0.5637583892617449,298
GPT-4o,dyad,CvC,Ambiguous,0.21476510067114093,0.15436241610738255,0.28859060402684567,298
GPT-4o,dyad,CvS,AllC,0.3488372093023256,0.2956810631229236,0.4053156146179402,301
GPT-4o,dyad,CvS,TFT,0.15946843853820597,0.12292358803986711,0.2026578073089701,301
GPT-4o,dyad,CvS,WSLS,0.12624584717607973,0.08970099667774087,0.16611295681063123,301
GPT-4o,dyad,CvS,AllD,0.3554817275747508,0.3023255813953488,0.4119601328903654,301
GPT-4o,dyad,CvS,Ambiguous,0.009966777408637873,0.0,0.023255813953488372,301
GPT-4o,dyad,SvC,AllC,0.31893687707641194,0.26578073089701,0.37209302325581395,301
GPT-4o,dyad,SvC,TFT,0.046511627906976744,0.023255813953488372,0.06976744186046512,301
GPT-4o,dyad,SvC,WSLS,0.3853820598006645,0.3321428571428572,0.4418604651162791,301
GPT-4o,dyad,SvC,AllD,0.24584717607973422,0.19933554817275748,0.2956810631229236,301
GPT-4o,dyad,SvC,Ambiguous,0.0033222591362126247,0.0,0.009966777408637873,301
GPT-4o,dyad,SvS,AllC,0.19333333333333333,0.15333333333333332,0.23333333333333334,300
GPT-4o,dyad,SvS,TFT,0.17333333333333334,0.12666666666666668,0.22,300
GPT-4o,dyad,SvS,WSLS,0.2733333333333333,0.22666666666666666,0.32,300
GPT-4o,dyad,SvS,AllD,0.35333333333333333,0.31333333333333335,0.3933333333333333,300
GPT-4o,dyad,SvS,Ambiguous,0.006666666666666667,0.0,0.016666666666666666,300
Mistral-Large,scale_nominal,0.1,AllC,0.3975,0.35743749999999996,0.43756249999999963,400
Mistral-Large,scale_nominal,0.1,TFT,0.02,0.0075,0.035,400
Mistral-Large,scale_nominal,0.1,WSLS,0.165,0.125,0.205,400
Mistral-Large,scale_nominal,0.1,AllD,0.4025,0.345,0.4575,400
Mistral-Large,scale_nominal,0.1,Ambiguous,0.015,0.0,0.035,400
Mistral-Large,scale_nominal,1.0,AllC,0.46,0.4225,0.4975,400
Mistral-Large,scale_nominal,1.0,TFT,0.0825,0.0575,0.11,400
Mistral-Large,scale_nominal,1.0,WSLS,0.0975,0.07,0.125,400
Mistral-Large,scale_nominal,1.0,AllD,0.345,0.2975,0.3925,400
Mistral-Large,scale_nominal,1.0,Ambiguous,0.015,0.0,0.03,400
Mistral-Large,scale_nominal,10.0,AllC,0.425,0.3925,0.46,400
Mistral-Large,scale_nominal,10.0,TFT,0.0475,0.0275,0.07,400
Mistral-Large,scale_nominal,10.0,WSLS,0.1675,0.1375,0.2,400
Mistral-Large,scale_nominal,10.0,AllD,0.355,0.3025,0.405,400
Mistral-Large,scale_nominal,10.0,Ambiguous,0.005,0.0,0.015,400
Mistral-Large,language,ar,AllC,0.4,0.3458333333333333,0.45416666666666666,240
Mistral-Large,language,ar,TFT,0.08333333333333333,0.05,0.11666666666666667,240
Mistral-Large,language,ar,WSLS,0.07916666666666666,0.041666666666666664,0.12083333333333333,240
Mistral-Large,language,ar,AllD,0.4375,0.37083333333333335,0.5083333333333333,240
Mistral-Large,language,ar,Ambiguous,0.0,0.0,0.0,240
Mistral-Large,language,cn,AllC,0.39166666666666666,0.3458333333333333,0.4375,240
Mistral-Large,language,cn,TFT,0.1,0.06666666666666667,0.1375,240
Mistral-Large,language,cn,WSLS,0.058333333333333334,0.03322916666666667,0.0875,240
Mistral-Large,language,cn,AllD,0.45,0.39166666666666666,0.5041666666666667,240
Mistral-Large,language,cn,Ambiguous,0.0,0.0,0.0,240
Mistral-Large,language,en,AllC,0.5,0.45,0.5458333333333333,240
Mistral-Large,language,en,TFT,0.025,0.004166666666666667,0.05,240
Mistral-Large,language,en,WSLS,0.1875,0.14583333333333334,0.23333333333333334,240
Mistral-Large,language,en,AllD,0.22916666666666666,0.175,0.2875,240
Mistral-Large,language,en,Ambiguous,0.058333333333333334,0.016666666666666666,0.10833333333333334,240
Mistral-Large,language,fr,AllC,0.475,0.425,0.5208333333333334,240
Mistral-Large,language,fr,TFT,0.020833333333333332,0.004166666666666667,0.041666666666666664,240
Mistral-Large,language,fr,WSLS,0.24583333333333332,0.2,0.2916666666666667,240
Mistral-Large,language,fr,AllD,0.25833333333333336,0.2,0.32083333333333336,240
Mistral-Large,language,fr,Ambiguous,0.0,0.0,0.0,240
Mistral-Large,language,vn,AllC,0.37083333333333335,0.325,0.4125,240
Mistral-Large,language,vn,TFT,0.020833333333333332,0.004166666666666667,0.041666666666666664,240
Mistral-Large,language,vn,WSLS,0.14583333333333334,0.1,0.19166666666666668,240
Mistral-Large,language,vn,AllD,0.4625,0.3958333333333333,0.5333333333333333,240
Mistral-Large,language,vn,Ambiguous,0.0,0.0,0.0,240
Mistral-Large,personality,cooperative,AllC,0.235,0.19799558396631642,0.2725724732640887,600
Mistral-Large,personality,cooperative,TFT,0.08333333333333333,0.06208644695663282,0.10708698627679858,600
Mistral-Large,personality,cooperative,WSLS,0.08833333333333333,0.06622242898582453,0.11167957594298447,600
Mistral-Large,personality,cooperative,AllD,0.57,0.525335705023205,0.6152628621378622,600
Mistral-Large,personality,cooperative,Ambiguous,0.023333333333333334,0.009723687759050909,0.041039999999999924,600
Mistral-Large,personality,selfish,AllC,0.62,0.5868420460933109,0.6548821548821548,600
Mistral-Large,personality,selfish,TFT,0.016666666666666666,0.006848150218991706,0.027960526315789474,600
Mistral-Large,personality,selfish,WSLS,0.19833333333333333,0.1646806027164686,0.23164860726285394,600
Mistral-Large,personality,selfish,AllD,0.165,0.13721713350340878,0.19388135851355465,600
Mistral-Large,personality,selfish,Ambiguous,0.0,0.0,0.0,600
Mistral-Large,dyad,CvC,AllC,0.12666666666666668,0.08333333333333333,0.17333333333333334,300
Mistral-Large,dyad,CvC,TFT,0.06666666666666667,0.03991666666666667,0.1,300
Mistral-Large,dyad,CvC,WSLS,0.02,0.006666666666666667,0.03666666666666667,300
Mistral-Large,dyad,CvC,AllD,0.74,0.6766666666666666,0.8033333333333333,300
Mistral-Large,dyad,CvC,Ambiguous,0.04666666666666667,0.013333333333333334,0.08,300
Mistral-Large,dyad,CvS,AllC,0.3433333333333333,0.2866666666666667,0.39666666666666667,300
Mistral-Large,dyad,CvS,TFT,0.1,0.06666666666666667,0.13666666666666666,300
Mistral-Large,dyad,CvS,WSLS,0.15666666666666668,0.11666666666666667,0.2,300
Mistral-Large,dyad,CvS,AllD,0.4,0.3466666666666667,0.46,300
Mistral-Large,dyad,CvS,Ambiguous,0.0,0.0,0.0,300
Mistral-Large,dyad,SvC,AllC,0.7466666666666667,0.6966666666666667,0.7966666666666666,300
Mistral-Large,dyad,SvC,TFT,0.0,0.0,0.0,300
Mistral-Large,dyad,SvC,WSLS,0.16333333333333333,0.12333333333333334,0.20666666666666667,300
Mistral-Large,dyad,SvC,AllD,0.09,0.06,0.12,300
Mistral-Large,dyad,SvC,Ambiguous,0.0,0.0,0.0,300
Mistral-Large,dyad,SvS,AllC,0.49333333333333335,0.46,0.5266666666666666,300
Mistral-Large,dyad,SvS,TFT,0.03333333333333333,0.016666666666666666,0.056666666666666664,300
Mistral-Large,dyad,SvS,WSLS,0.23333333333333334,0.18666666666666668,0.28,300
Mistral-Large,dyad,SvS,AllD,0.24,0.19333333333333333,0.2866666666666667,300
Mistral-Large,dyad,SvS,Ambiguous,0.0,0.0,0.0,300
