arm,scope,model_spec,k,bic,aic,r2,best_by_bic,best_bic,delta_bic
ten-scale,GPT-5.4-Nano,notation regime (3 levels),8,655.1765137677119,598.5300670067936,0.18328559318151882,quadratic in log10 lambda,525.4758618147987,129.70065195291318
ten-scale,GPT-5.4-Nano,saturated in lambda,15,536.1976939144902,435.4928996728577,0.2186445416276216,quadratic in log10 lambda,525.4758618147987,10.721832099691483
ten-scale,Gemini-3.1-Flash-Lite-Preview,controls only,6,-1297.0805456270293,-1341.1388931077436,0.7323008140550078,linear in log10 lambda,-1334.1967286939523,37.116183066922986
ten-scale,Gemini-3.1-Flash-Lite-Preview,linear in log10 lambda,7,-1334.1967286939523,-1384.5491258147686,0.7353226991192001,linear in log10 lambda,-1334.1967286939523,0.0
ten-scale,Gemini-3.1-Flash-Lite-Preview,quadratic in log10 lambda,8,-1326.610255524831,-1383.2567022857493,0.735369514835992,linear in log10 lambda,-1334.1967286939523,7.586473169121291
ten-scale,Gemini-3.1-Flash-Lite-Preview,cubic in log10 lambda,9,-1320.9281114611301,-1383.8686078621504,0.7355422558919098,linear in log10 lambda,-1334.1967286939523,13.26861723282218
ten-scale,Gemini-3.1-Flash-Lite-Preview,fractional flag,7,-1304.5204284137487,-1354.872825534565,0.7333517360336628,linear in log10 lambda,-1334.1967286939523,29.676300280203577
ten-scale,Gemini-3.1-Flash-Lite-Preview,fractional + glyph count,8,-1325.83302660715,-1382.4794733680683,0.7353180902236746,linear in log10 lambda,-1334.1967286939523,8.363702086802277
ten-scale,Gemini-3.1-Flash-Lite-Preview,notation regime (3 levels),8,-1323.2085423606243,-1379.8549891215425,0.7351443698634759,linear in log10 lambda,-1334.1967286939523,10.98818633332803
ten-scale,Gemini-3.1-Flash-Lite-Preview,saturated in lambda,15,-1276.285825321956,-1376.9906195635886,0.7358806780853278,linear in log10 lambda,-1334.1967286939523,57.910903371996255
ten-scale,Gemini-3.5-Flash-Lite,controls only,6,1534.1711870360002,1490.112839555286,0.05196917116130362,saturated in lambda,1453.306616837272,80.86457019872819
ten-scale,Gemini-3.5-Flash-Lite,linear in log10 lambda,7,1502.3995731943635,1452.0471760735472,0.061417643291987734,saturated in lambda,1453.306616837272,49.09295635709145
ten-scale,Gemini-3.5-Flash-Lite,quadratic in log10 lambda,8,1509.3311284805493,1452.684681719631,0.06173729213935408,saturated in lambda,1453.306616837272,56.024511643277265
ten-scale,Gemini-3.5-Flash-Lite,cubic in log10 lambda,9,1517.1081032400973,1454.167606839077,0.06185857231971681,saturated in lambda,1453.306616837272,63.801486402825276
ten-scale,Gemini-3.5-Flash-Lite,fractional flag,7,1517.5062233057618,1467.1538261849455,0.05786623245719813,saturated in lambda,1453.306616837272,64.19960646848972
ten-scale,Gemini-3.5-Flash-Lite,fractional + glyph count,8,1515.8126633978825,1459.1662166369642,0.06021571407645543,saturated in lambda,1453.306616837272,62.50604656061046
ten-scale,Gemini-3.5-Flash-Lite,notation regime (3 levels),8,1499.0060356745487,1442.3595889136304,0.0641560814021428,saturated in lambda,1453.306616837272,45.69941883727665
ten-scale,Gemini-3.5-Flash-Lite,saturated in lambda,15,1453.306616837272,1352.6018225956395,0.08811921132495204,saturated in lambda,1453.306616837272,0.0
three-scale,pooled,controls only,8,2469.5402035190323,2413.8420013990344,0.09921200768456961,notation regime (3 levels),2277.5644961015346,191.9757074174977
three-scale,pooled,linear in log10 lambda,9,2325.4425229507146,2263.555631706273,0.13652222592080365,notation regime (3 levels),2277.5644961015346,47.87802684918006
three-scale,pooled,quadratic in log10 lambda,10,2285.6850363848453,2217.609456015959,0.14794611019112147,notation regime (3 levels),2277.5644961015346,8.120540283310675
three-scale,pooled,cubic in log10 lambda,10,2285.6850363848453,2217.609456015959,0.1479461101911218,notation regime (3 levels),2277.5644961015346,8.120540283310675
three-scale,pooled,fractional flag,9,2277.5644961015355,2215.6776048570937,0.1479299804592369,notation regime (3 levels),2277.5644961015346,9.094947017729282e-13
three-scale,pooled,fractional + glyph count,10,2285.6850363848453,2217.609456015959,0.14794611019112136,notation regime (3 levels),2277.5644961015346,8.120540283310675
three-scale,pooled,notation regime (3 levels),9,2277.5644961015346,2215.677604857093,0.14792998045923722,notation regime (3 levels),2277.5644961015346,0.0
three-scale,pooled,saturated in lambda,10,2285.6850363848453,2217.609456015959,0.14794611019112158,notation regime (3 levels),2277.5644961015346,8.120540283310675
three-scale,Claude-3.5-Haiku,controls only,6,190.76739770827731,155.13685985784468,0.10408211465064432,fractional flag,-52.540615780447155,243.30801348872447
three-scale,Claude-3.5-Haiku,linear in log10 lambda,7,8.792516949684028,-31.928097736524705,0.23467955258285145,fractional flag,-52.540615780447155,61.33313273013118
three-scale,Claude-3.5-Haiku,quadratic in log10 lambda,8,-45.66101753063846,-91.47170905262328,0.272940520727053,fractional flag,-52.540615780447155,6.879598249808694
three-scale,Claude-3.5-Haiku,cubic in log10 lambda,8,-45.66101753063846,-91.47170905262328,0.272940520727053,fractional flag,-52.540615780447155,6.879598249808694
three-scale,Claude-3.5-Haiku,fractional flag,7,-52.540615780447155,-93.26123046665589,0.2728129841665723,fractional flag,-52.540615780447155,0.0
three-scale,Claude-3.5-Haiku,fractional + glyph count,8,-45.66101753063846,-91.47170905262328,0.272940520727053,fractional flag,-52.540615780447155,6.879598249808694
three-scale,Claude-3.5-Haiku,notation regime (3 levels),7,-52.540615780447155,-93.26123046665589,0.2728129841665724,fractional flag,-52.540615780447155,0.0
three-scale,Claude-3.5-Haiku,saturated in lambda,8,-45.66101753063846,-91.47170905262328,0.272940520727053,fractional flag,-52.540615780447155,6.879598249808694
three-scale,GPT-4o,controls only,6,896.2902538736267,860.659716023194,0.002944862380984903,fractional flag,777.9240039488806,118.36624992474617
three-scale,GPT-4o,linear in log10 lambda,7,807.2641722857785,766.5435575995698,0.07969119321042739,fractional flag,777.9240039488806,29.340168336897932
three-scale,GPT-4o,quadratic in log10 lambda,8,784.9021294161014,739.0914378941166,0.10200379683850003,fractional flag,777.9240039488806,6.978125467220821
three-scale,GPT-4o,cubic in log10 lambda,8,786.0737457190523,740.2630541970675,0.10112661286390334,fractional flag,777.9240039488806,8.149741770171772
three-scale,GPT-4o,fractional flag,7,777.9240039488806,737.2033892626719,0.10192001634391801,fractional flag,777.9240039488806,0.0
three-scale,GPT-4o,fractional + glyph count,8,784.9021294161014,739.0914378941166,0.10200379683850003,fractional flag,777.9240039488806,6.978125467220821
three-scale,GPT-4o,notation regime (3 levels),7,777.9240039488806,737.2033892626719,0.10192001634391823,fractional flag,777.9240039488806,0.0
three-scale,GPT-4o,saturated in lambda,8,784.9021294161014,739.0914378941166,0.10200379683850003,fractional flag,777.9240039488806,6.978125467220821
three-scale,Mistral-Large,controls only,6,1054.5308180405236,1018.900280190091,0.20948570163796854,controls only,1054.5308180405236,0.0
three-scale,Mistral-Large,linear in log10 lambda,7,1060.2220738625226,1019.5014591763138,0.2104066547736344,controls only,1054.5308180405236,5.691255821998993
three-scale,Mistral-Large,quadratic in log10 lambda,8,1066.4722969281313,1020.6616054061465,0.21095908055895873,controls only,1054.5308180405236,11.941478887607673
three-scale,Mistral-Large,cubic in log10 lambda,8,1066.4722969281313,1020.6616054061465,0.21095908055895862,controls only,1054.5308180405236,11.941478887607673
three-scale,Mistral-Large,fractional flag,7,1059.4230464118184,1018.7024317256096,0.21093223540509343,controls only,1054.5308180405236,4.892228371294777
three-scale,Mistral-Large,fractional + glyph count,8,1066.4722969281313,1020.6616054061465,0.2109590805589584,controls only,1054.5308180405236,11.941478887607673
three-scale,Mistral-Large,notation regime (3 levels),7,1059.4230464118193,1018.7024317256105,0.21093223540509343,controls only,1054.5308180405236,4.892228371295687
three-scale,Mistral-Large,saturated in lambda,8,1066.4722969281313,1020.6616054061465,0.2109590805589585,controls only,1054.5308180405236,11.941478887607673
